480,135,137,139,140,141,96,94,88,80,69,57,43,29,21,15
440,137,139,141,143,144,114,111,105,95,82,69,54,38,30,21
400,138,141,143,145,147,132,128,120,108,94,78,62,46,37,35
360,142,143,145,148,150,155,151,143,130,120,98,85,75,55,50
320,143,145,146,150,160,155,155,160,160,160,155,150,150,155,155
280,95,119,137,150,120,110,155,160,155,138,107,90,105,115,120
240,91,109,127,150,120,110,135,145,120,115,101,88,100,105,110
200,88,106,123,139,150,150,140,90,110,106,95,87,90,93,95
160,83,98,118,132,145,142,140,130,70,90,85,84,38,78,75
120,74,88,108,113,125,128,123,104,90,50,70,78,75,65,55
80,65,76,88,97,102,105,102,83,80,70,30,50,55,48,35
40,51,62,73,80,85,87,85,78,72,65,50,20,30,35,32
0,37,47,55,60,67,69,67,62,58,45,40,30,10,15,25
Y/X,0,40,80,120,160,200,240,280,320,360,400,440,480,520,560
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
